Was the program good and useful?,Did you understand most of the topics/information shared?,Did you enjoy the activities?,"Are the presentations /  videos/work materials good to see, read and easy to understand?",Has your knowledge increased about different career paths / job opportunities / preparation?,Do you have better clarity now on your next steps than before the program?,Do you recommend this program for your juniors / other friends too?,Will you reach out to us if you have questions? ,Is it easy for you to set your own goals now? Can you do it? 
Yes,Yes,Yes,Partially,Yes,Yes,Yes,Yes,Yes
Partially,Yes,Partially,Partially,Partially,Yes,Yes,Yes,Yes
Yes,Yes,Partially,Partially,Partially,Partially,Yes,Yes,Yes
Yes,Partially,Yes,Partially,Yes,Partially,Yes,Yes,Yes
Yes,Partially,Yes,Partially,Yes,No,Yes,Yes,Yes
Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Partially,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Partially,Partially,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Partially,Yes,Partially,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
No,No,No,Yes,No,Yes,No,Yes,Yes
Yes,Partially,Partially,No,No,Yes,Yes,Yes,No
No,Partially,Yes,No,No,No,Yes,No,Yes
No,Partially,Partially,No,Yes,Yes,Yes,Yes,No
No,Partially,Yes,No,Partially,Yes,Yes,Yes,Yes
No,Yes,Yes,Partially,Partially,Yes,Yes,Yes,Yes
Partially,Yes,No,Partially,Partially,Partially,Yes,Yes,Yes
Partially,Partially,Partially,No,No,Partially,No,Yes,Yes
Yes,No,Partially,Partially,Yes,No,No,Yes,Yes
Yes,Yes,No,Yes,Partially,Partially,Yes,Yes,Yes
Yes,No,Yes,Partially,Partially,Yes,No,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Partially,Partially,Partially,Yes,Yes,Yes,No
Yes,Partially,Partially,Partially,Partially,Partially,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
No,No,Partially,Partially,Partially,Partially,No,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,Partially,Yes,Partially,Yes,No,Yes,No
Yes,Yes,Partially,Partially,No,Partially,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
No,No,No,No,Partially,Partially,No,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,No,Partially,Partially,Partially,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Partially,No,Partially,Partially,Partially,Partially,No,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,Partially,Partially,No,Partially,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Partially,Partially,Partially,Yes,Yes,Partially,Yes,Yes,Yes
No,No,No,No,Partially,Partially,No,No,No
Yes,Yes,Yes,Yes,Partially,Partially,No,No,No
No,Yes,Yes,Yes,Partially,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Partially,Partially,Yes,No,Partially,Partially,No,No,Yes
Yes,Partially,Partially,Partially,Partially,Partially,Yes,Yes,Yes
Yes,Yes,Partially,Yes,Partially,Partially,Yes,Yes,Yes
Partially,Partially,Yes,Yes,No,Yes,No,No,Yes
Yes,Yes,Yes,Partially,Partially,Partially,Yes,Yes,Yes
